100_1-e,0.019,0.011,0.025,0.030,0.030,0.056,0.179,0.307,0.620,1.855,5.890,23.350,83.949,179.964,179.977,
100_2,0.011,0.018,0.016,0.015,0.022,0.026,0.027,0.030,0.040,0.030,0.043,0.055,0.061,0.062,0.068,
100_3-e,0.013,0.016,0.015,0.019,0.026,0.017,0.021,0.025,0.022,0.032,0.030,0.035,0.038,0.064,0.049,
100_4-e,0.015,0.018,0.020,0.023,0.022,0.020,0.027,0.036,0.033,0.036,0.035,0.040,0.043,0.052,0.071,
100_5-e,0.009,0.017,0.020,0.021,0.032,0.042,0.173,0.347,0.576,1.523,5.898,18.823,90.422,179.971,179.968,
200_1-e,0.015,0.019,0.018,0.040,0.054,0.068,0.190,0.351,0.633,1.589,4.652,20.210,71.570,179.968,179.972,
200_2-e,0.013,0.026,0.024,0.028,0.036,0.065,0.070,0.088,0.114,0.156,0.168,0.217,0.263,0.300,0.370,
200_3-e,0.014,0.022,0.024,0.032,0.101,0.443,2.840,19.247,179.988,179.972,179.898,179.771,179.275,178.795,85.337,
200_4-e,0.034,0.036,0.036,0.039,0.102,0.406,2.720,18.288,179.985,179.958,179.903,179.759,179.405,178.869,92.072,
200_5-e,0.042,0.041,0.046,0.056,0.047,0.044,0.067,0.095,0.110,0.131,0.181,0.225,0.278,0.357,0.448,
400_1-e,0.021,0.036,0.067,0.093,0.222,0.840,3.751,24.608,179.952,179.969,179.904,179.782,179.322,178.824,86.139,
400_2-e,0.027,0.061,0.045,0.062,0.095,0.132,0.197,0.347,0.554,0.708,0.801,0.998,1.328,1.595,2.022,
ack,0.009,0.015,0.018,0.027,0.149,1.409,11.535,168.536,179.977,179.918,179.820,179.565,178.744,76.264,103.671,
a-cppr,0.037,0.020,0.027,0.029,0.021,0.019,0.017,0.019,0.018,0.025,0.023,0.022,0.030,0.028,0.029,
a-init-me,0.015,0.026,0.026,0.027,0.037,0.029,0.012,0.017,0.021,0.027,0.028,0.025,0.040,0.039,0.030,
a-init,0.014,0.012,0.012,0.017,0.019,0.017,0.010,0.022,0.016,0.034,0.024,0.040,0.043,0.058,0.057,
a-max-me,0.009,0.015,0.014,0.015,0.015,0.017,0.017,0.015,0.013,0.018,0.016,0.015,0.018,0.016,0.024,
a-max,0.013,0.010,0.007,0.011,0.010,0.014,0.018,0.018,0.009,0.013,0.015,0.009,0.019,0.022,0.018,
copy_intro,0.025,0.024,0.022,0.019,0.026,0.012,0.022,0.024,0.023,0.026,0.024,0.023,0.025,0.025,0.016,
e-fact,0.013,0.006,0.014,0.011,0.015,0.007,0.012,0.014,0.011,0.016,0.012,0.017,0.019,0.019,0.018,
e-simple,0.008,0.007,0.012,0.010,0.009,0.012,0.007,0.011,0.012,0.006,0.012,0.012,0.008,0.008,0.012,
hors,0.012,0.005,0.013,0.012,0.013,0.013,0.009,0.010,0.014,0.014,0.011,0.009,0.015,0.014,0.012,
hrec,0.015,0.023,0.025,0.024,0.031,0.034,0.074,0.357,3.301,26.097,179.952,179.928,179.967,179.941,179.959,
intro1,0.016,0.015,0.012,0.012,0.013,0.013,0.007,0.007,0.013,0.015,0.012,0.009,0.013,0.011,0.009,
intro3,0.014,0.016,0.016,0.011,0.011,0.009,0.012,0.005,0.012,0.008,0.013,0.012,0.004,0.012,0.007,
l-zipmap,0.008,0.014,0.015,0.016,0.009,0.016,0.019,0.020,0.025,0.024,0.026,0.023,0.033,0.031,0.033,
l-zipunzip,0.012,0.013,0.006,0.007,0.016,0.019,0.022,0.018,0.014,0.019,0.029,0.032,0.056,0.048,0.062,
max,0.011,0.013,0.009,0.007,0.008,0.008,0.013,0.009,0.013,0.009,0.013,0.012,0.009,0.013,0.013,
mc91-e,0.007,0.012,0.006,0.012,0.013,0.051,0.182,0.327,0.883,3.450,12.112,71.334,179.967,179.962,179.979,
mc91,0.009,0.008,0.010,0.018,0.025,0.058,0.186,0.339,0.886,3.579,12.153,73.405,179.954,179.968,179.950,
mult-e-m2,0.013,0.014,0.011,0.015,0.012,0.013,0.010,0.021,0.018,0.018,0.020,0.019,0.024,0.026,0.020,
mult-e-m3,0.010,0.016,0.019,0.014,0.015,0.021,0.019,0.016,0.023,0.023,0.018,0.015,0.017,0.022,0.017,
mult-e,0.018,0.012,0.020,0.022,0.014,0.017,0.019,0.019,0.025,0.025,0.027,0.023,0.017,0.015,0.018,
mult,0.014,0.020,0.018,0.018,0.021,0.016,0.018,0.017,0.017,0.012,0.015,0.016,0.006,0.010,0.014,
repeat-e,0.009,0.013,0.013,0.014,0.010,0.015,0.015,0.011,0.010,0.015,0.015,0.011,0.016,0.013,0.012,
r-lock-e,0.008,0.009,0.013,0.009,0.013,0.008,0.013,0.014,0.009,0.013,0.005,0.007,0.008,0.009,0.009,
r-lock,0.005,0.010,0.007,0.008,0.012,0.013,0.013,0.007,0.013,0.012,0.008,0.009,0.013,0.009,0.007,
sum-e,0.008,0.013,0.009,0.013,0.010,0.014,0.014,0.012,0.019,0.015,0.013,0.011,0.013,0.016,0.009,
sum-mult-e,0.005,0.013,0.013,0.016,0.018,0.022,0.046,0.149,0.217,0.213,0.236,0.285,0.319,0.344,0.303,
sum,0.009,0.012,0.013,0.013,0.013,0.014,0.010,0.014,0.007,0.011,0.015,0.016,0.016,0.016,0.017,
