PROGRAM,BOUND,MEAN TOTAL TIME (s),COMMENTS
ack,1,0.016,
ack,2,0.016,
ack,3,0.026,
ack,4,0.045,
ack,5,0.145,
ack,6,0.843,
ack,7,8.244,
ack,8,10,TIMEOUT 
copy_intro,1,0.015,
copy_intro,2,0.013,
copy_intro,3,0.015,
copy_intro,4,0.025,
copy_intro,5,0.029,
copy_intro,6,0.042,
copy_intro,7,0.041,
copy_intro,8,0.072,
copy_intro,9,0.061,
copy_intro,10,0.069,
e-fact,1,0.013,
e-fact,2,0.014,
e-fact,3,0.018,
e-fact,4,0.023,
e-fact,5,0.083,
e-fact,6,4.989,
e-fact,7,10,TIMEOUT 
e-simple,1,0.013,
e-simple,2,0.015,
e-simple,3,0.02,
e-simple,4,0.014,
e-simple,5,0.015,
e-simple,6,0.015,
e-simple,7,0.012,
e-simple,8,0.019,
e-simple,9,0.015,
e-simple,10,0.017,
hors,1,0.017,
hors,2,0.012,
hors,3,0.015,
hors,4,0.022,
hors,5,0.041,
hors,6,10,TIMEOUT 
hrec,1,0.012,
hrec,2,0.014,
hrec,3,0.027,
hrec,4,10,TIMEOUT 
intro1,1,0.018,
intro1,2,0.012,
intro1,3,0.016,
intro1,4,0.013,
intro1,5,0.016,
intro1,6,0.013,
intro1,7,0.014,
intro1,8,0.016,
intro1,9,0.015,
intro1,10,0.013,
intro3,1,0.013,
intro3,2,0.015,
intro3,3,0.013,
intro3,4,0.016,
intro3,5,0.013,
intro3,6,0.012,
intro3,7,0.016,
intro3,8,0.016,
intro3,9,0.013,
intro3,10,0.016,
l-zipmap,1,0.016,
l-zipmap,2,0.017,
l-zipmap,3,0.021,
l-zipmap,4,0.035,
l-zipmap,5,0.037,
l-zipmap,6,0.059,
l-zipmap,7,0.077,
l-zipmap,8,0.092,
l-zipmap,9,0.089,
l-zipmap,10,0.146,
l-zipunzip,1,0.017,
l-zipunzip,2,0.012,
l-zipunzip,3,0.023,
l-zipunzip,4,0.026,
l-zipunzip,5,0.092,
l-zipunzip,6,3.485,
l-zipunzip,7,10,TIMEOUT 
max,1,0.014,
max,2,0.017,
max,3,0.024,
max,4,0.021,
max,5,0.03,
max,6,0.035,
max,7,0.071,
max,8,0.138,
max,9,0.467,
max,10,2.447,
mc91,1,0.015,
mc91,2,0.014,
mc91,3,0.018,
mc91,4,0.03,
mc91,5,0.066,
mc91,6,0.177,
mc91,7,0.448,
mc91,8,1.985,
mc91,9,5.395,
mc91,10,10,TIMEOUT 
mc91-e,1,0.012,
mc91-e,2,0.017,counterexample found
mc91-e,3,0.021,
mc91-e,4,0.027,
mc91-e,5,0.03,
mc91-e,6,0.13,
mc91-e,7,0.084,
mc91-e,8,0.199,
mc91-e,9,0.639,
mc91-e,10,2.716,
mult,1,0.012,
mult,2,0.014,
mult,3,0.019,
mult,4,0.022,
mult,5,0.02,
mult,6,0.027,
mult,7,0.028,
mult,8,0.038,
mult,9,0.043,
mult,10,0.043,
mult-e,1,0.013,
mult-e,2,0.016,counterexample found
mult-e,3,0.015,
mult-e,4,0.02,
mult-e,5,0.027,
mult-e,6,0.021,
mult-e,7,0.023,
mult-e,8,0.028,
mult-e,9,0.041,
mult-e,10,0.049,
repeat-e,1,0.012,
repeat-e,2,0.016,counterexample found
repeat-e,3,0.013,
repeat-e,4,0.016,
repeat-e,5,0.02,
repeat-e,6,0.018,
repeat-e,7,0.022,
repeat-e,8,0.024,
repeat-e,9,0.028,
repeat-e,10,0.025,
r-lock,1,0.012,
r-lock,2,0.011,
r-lock,3,0.017,
r-lock,4,0.012,
r-lock,5,0.013,
r-lock,6,0.014,
r-lock,7,0.013,
r-lock,8,0.013,
r-lock,9,0.013,
r-lock,10,0.017,
r-lock-e,1,0.014,
r-lock-e,2,0.014,
r-lock-e,3,0.014,counterexample found
r-lock-e,4,0.014,
r-lock-e,5,0.015,
r-lock-e,6,0.014,
r-lock-e,7,0.015,
r-lock-e,8,0.015,
r-lock-e,9,0.019,
r-lock-e,10,0.016,
sum,1,0.014,
sum,2,0.013,
sum,3,0.017,
sum,4,0.015,
sum,5,0.018,
sum,6,0.026,
sum,7,0.04,
sum,8,0.029,
sum,9,0.043,
sum,10,0.053,
sum-e,1,0.015,
sum-e,2,0.013,counterexample found
sum-e,3,0.015,
sum-e,4,0.016,
sum-e,5,0.023,
sum-e,6,0.032,
sum-e,7,0.023,
sum-e,8,0.025,
sum-e,9,0.041,
sum-e,10,0.047,
