,MEAN TOTAL TIMES PER PROGRAM (s),,,,,,,,,,,,,,,,,,,
BOUND,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91,mc91-e,mult,mult-e,repeat-e,r-lock,r-lock-e,sum,sum-e
1,0.016,0.015,0.013,0.013,0.017,0.012,0.018,0.013,0.016,0.017,0.014,0.015,0.012,0.012,0.013,0.012,0.012,0.014,0.014,0.015
2,0.016,0.013,0.014,0.015,0.012,0.014,0.012,0.015,0.017,0.012,0.017,0.014,0.017,0.014,0.016,0.016,0.011,0.014,0.013,0.013
3,0.026,0.015,0.018,0.02,0.015,0.027,0.016,0.013,0.021,0.023,0.024,0.018,0.021,0.019,0.015,0.013,0.017,0.014,0.017,0.015
4,0.045,0.025,0.023,0.014,0.022,10,0.013,0.016,0.035,0.026,0.021,0.03,0.027,0.022,0.02,0.016,0.012,0.014,0.015,0.016
5,0.145,0.029,0.083,0.015,0.041,,0.016,0.013,0.037,0.092,0.03,0.066,0.03,0.02,0.027,0.02,0.013,0.015,0.018,0.023
6,0.843,0.042,4.989,0.015,10,,0.013,0.012,0.059,3.485,0.035,0.177,0.13,0.027,0.021,0.018,0.014,0.014,0.026,0.032
7,8.244,0.041,10,0.012,,,0.014,0.016,0.077,10,0.071,0.448,0.084,0.028,0.023,0.022,0.013,0.015,0.04,0.023
8,10,0.072,,0.019,,,0.016,0.016,0.092,,0.138,1.985,0.199,0.038,0.028,0.024,0.013,0.015,0.029,0.025
9,,0.061,,0.015,,,0.015,0.013,0.089,,0.467,5.395,0.639,0.043,0.041,0.028,0.013,0.019,0.043,0.041
10,,0.069,,0.017,,,0.013,0.016,0.146,,2.447,10,2.716,0.043,0.049,0.025,0.017,0.016,0.053,0.047
